PC,#Cores,grid-X,grid-Y,#processes,#processes-X,#processes-Y,process-Width,process-Height,times,AVG(time),memory,AVG(memory)
mpi-node,4,1024,1024,1,1,1,1024,1024,"[22.05, 22.45, 21.79, 22.27, 21.98]",22.108,"[27288, 27412, 27260, 27332, 27288]",27316
mpi-node,4,1024,1024,2,1,2,1024,512,"[11.28, 11.25, 11.32, 11.71, 11.46]",11.404,"[21072, 21112, 21120, 20828, 21080]",21042.4
mpi-node,4,1024,1024,2,2,1,512,1024,"[11.63, 11.62, 11.62, 11.7, 11.5]",11.613999999999999,"[23144, 23112, 21092, 20832, 21104]",21856.8
mpi-node,4,1024,1024,4,1,4,1024,256,"[7.86, 7.41, 7.38, 7.42, 7.31]",7.476,"[21112, 21104, 23128, 21052, 23156]",21910.4
mpi-node,4,1024,1024,4,2,2,512,512,"[7.35, 7.28, 7.19, 7.51, 7.22]",7.31,"[21152, 21108, 21072, 21128, 20956]",21083.2
mpi-node,4,1024,1024,4,4,1,256,1024,"[7.03, 7.23, 7.18, 7.39, 7.91]",7.348,"[21124, 21080, 21080, 23112, 21056]",21490.4
mpi-node,4,2048,2048,1,1,1,2048,2048,"[85.03, 85.2, 84.85, 84.99, 86.1]",85.234,"[76540, 76604, 76784, 76684, 76752]",76672.8
mpi-node,4,2048,2048,2,1,2,2048,1024,"[45.17, 45.96, 43.45, 43.56, 44.27]",44.482,"[43972, 43900, 44156, 44208, 44104]",44068
mpi-node,4,2048,2048,2,2,1,1024,2048,"[44.14, 44.79, 44.14, 44.09, 43.79]",44.19,"[44060, 44128, 44124, 44196, 44136]",44128.8
mpi-node,4,2048,2048,4,1,4,2048,512,"[25.15, 25.25, 26.32, 25.81, 26.9]",25.886,"[29924, 29560, 29876, 29736, 27820]",29383.2
mpi-node,4,2048,2048,4,2,2,1024,1024,"[26.18, 24.36, 23.98, 23.97, 25.55]",24.808,"[27908, 29684, 27940, 27884, 29768]",28636.8
mpi-node,4,2048,2048,4,4,1,512,2048,"[25.8, 26.54, 25.23, 25.8, 25.42]",25.758,"[29760, 27796, 29896, 27764, 28000]",28643.2
mpi-node,4,4096,4096,1,1,1,4096,4096,"[338.41, 363.85, 358.71, 344.15, 334.22]",347.868,"[273604, 273340, 273260, 273584, 273616]",273480.8
mpi-node,4,4096,4096,2,1,2,4096,2048,"[173.23, 171.0, 170.46, 167.08, 167.02]",169.758,"[142724, 142764, 142800, 142840, 142776]",142780.8
mpi-node,4,4096,4096,2,2,1,2048,4096,"[172.54, 177.61, 171.35, 167.69, 168.0]",171.438,"[142752, 142348, 142740, 142816, 142500]",142631.2
mpi-node,4,4096,4096,4,1,4,4096,1024,"[91.82, 95.8, 112.95, 93.89, 92.82]",97.456,"[77168, 77168, 79208, 77228, 77212]",77596.8
mpi-node,4,4096,4096,4,2,2,2048,2048,"[92.23, 91.56, 91.65, 92.2, 90.66]",91.66,"[79088, 77140, 77184, 79104, 77208]",77944.8
mpi-node,4,4096,4096,4,4,1,1024,4096,"[92.17, 91.39, 91.89, 92.54, 93.05]",92.208,"[78820, 77152, 77232, 77076, 77132]",77482.4
